Year,Name,team,salary,bloodType,height,weight,UniformNum,position,Games,AtBats,Hit,HR,Win,Lose,Save,Hold
2025年度,菊池　涼介,Carp,25000,A型,171,71,33,内野手,16,57,12,0,NA,NA,NA,NA
2025年度,大瀬良　大地,Carp,20000,AB型,188,94,14,投手,3,NA,NA,NA,0,1,0,0
2025年度,秋山　翔吾,Carp,18000,A型,184,86,9,外野手,3,9,4,0,NA,NA,NA,NA
2025年度,森下　暢仁,Carp,16500,O型,181,81,18,投手,4,NA,NA,NA,3,1,0,0
2025年度,栗林　良吏,Carp,16000,A型,177,88,20,投手,7,NA,NA,NA,1,0,3,2
2025年度,床田　寛樹,Carp,15000,A型,181,97,19,投手,3,NA,NA,NA,1,1,0,0
2025年度,モンテロ,Carp,12800,不明,190,106,95,内野手,3,11,1,0,NA,NA,NA,NA
2025年度,ハーン,Carp,11325,不明,198,117,68,投手,7,NA,NA,NA,0,1,0,5
2025年度,ファビアン,Carp,10850,不明,180,81,61,外野手,17,63,17,2,NA,NA,NA,NA
2025年度,小園　海斗,Carp,9000,AB型,178,91,5,内野手,17,68,27,0,NA,NA,NA,NA
2025年度,島内　颯太郎,Carp,8800,O型,180,86,43,投手,7,NA,NA,NA,0,0,0,4
2025年度,野間　峻祥,Carp,8000,B型,182,86,37,外野手,15,34,12,0,NA,NA,NA,NA
2025年度,會澤　翼,Carp,8000,B型,175,95,27,捕手,10,17,4,0,NA,NA,NA,NA
2025年度,ドミンゲス,Carp,7750,不明,193,86,42,投手,2,NA,NA,NA,1,0,0,0
2025年度,森浦　大輔,Carp,6300,O型,175,78,13,投手,7,NA,NA,NA,1,0,0,5
2025年度,堂林　翔太,Carp,6000,A型,184,96,7,内野手,11,23,3,0,NA,NA,NA,NA
2025年度,矢野　雅哉,Carp,5300,A型,171,72,4,内野手,17,61,14,0,NA,NA,NA,NA
2025年度,中﨑　翔太,Carp,5200,B型,187,100,21,投手,4,NA,NA,NA,0,0,0,0
2025年度,塹江　敦哉,Carp,4000,A型,178,91,36,投手,7,NA,NA,NA,0,1,1,2
2025年度,末包　昇大,Carp,3600,O型,188,107,52,外野手,13,54,18,2,NA,NA,NA,NA
2025年度,鈴木　健矢,Carp,2700,O型,176,80,41,投手,4,NA,NA,NA,0,0,0,0
2025年度,玉村　昇悟,Carp,2600,A型,179,86,65,投手,2,NA,NA,NA,0,1,0,0
2025年度,羽月　隆太郎,Carp,2300,O型,168,73,00,内野手,7,0,0,0,NA,NA,NA,NA
2025年度,磯村　嘉孝,Carp,2100,A型,178,92,40,捕手,2,3,0,0,NA,NA,NA,NA
2025年度,森　翔平,Carp,2000,O型,177,86,16,投手,3,NA,NA,NA,3,0,0,0
2025年度,大盛　穂,Carp,2000,A型,179,84,59,外野手,12,5,2,0,NA,NA,NA,NA
