Year,Name,team,salary,bloodType,height,weight,UniformNum,position,Games,AtBats,Hit,HR,Win,Lose,Save,Hold
2011年度,永川　勝浩,Carp,12000,O型,188,97,20,投手,19,NA,NA,NA,1,2,0,0
2011年度,前田　健太,Carp,12000,A型,182,73,18,投手,31,NA,NA,NA,10,12,0,0
2011年度,栗原　健太,Carp,12000,O型,183,95,5,内野手,144,536,157,17,NA,NA,NA,NA
2011年度,東出　輝裕,Carp,10000,A型,171,73,2,内野手,137,543,151,0,NA,NA,NA,NA
2011年度,シュルツ,Carp,9000,不明,201,100,70,投手,19,NA,NA,NA,0,0,0,9
2011年度,大竹　寛,Carp,8000,B型,183,90,17,投手,6,NA,NA,NA,1,1,0,0
2011年度,石原　慶幸,Carp,8000,A型,177,82,31,捕手,110,299,60,4,NA,NA,NA,NA
2011年度,梵　英心,Carp,7500,B型,173,73,6,内野手,52,192,41,2,NA,NA,NA,NA
2011年度,前田　智徳,Carp,7000,AB型,176,80,1,外野手,52,44,11,0,NA,NA,NA,NA
2011年度,トレーシー,Carp,6600,不明,188,97,43,内野手,40,149,35,1,NA,NA,NA,NA
2011年度,横山　竜士,Carp,6500,B型,178,80,23,投手,2,NA,NA,NA,0,0,0,0
2011年度,ジオ,Carp,6250,不明,193,95,91,投手,18,NA,NA,NA,3,7,0,0
2011年度,バリントン,Carp,5400,不明,193,95,42,投手,30,NA,NA,NA,13,11,0,0
2011年度,嶋　重宣,Carp,5000,A型,181,95,55,外野手,54,125,32,2,NA,NA,NA,NA
2011年度,廣瀬　純,Carp,5000,B型,181,87,26,外野手,73,218,59,2,NA,NA,NA,NA
2011年度,サファテ,Carp,3700,不明,193,102,58,投手,57,NA,NA,NA,1,3,35,1
2011年度,梅津　智弘,Carp,3300,O型,191,88,39,投手,23,NA,NA,NA,3,1,0,4
2011年度,倉　義和,Carp,3100,O型,179,80,40,捕手,55,108,20,0,NA,NA,NA,NA
2011年度,赤松　真人,Carp,3100,O型,182,75,38,外野手,80,192,50,1,NA,NA,NA,NA
2011年度,菊地原　毅,Carp,3000,A型,185,90,36,投手,5,NA,NA,NA,0,0,0,0
2011年度,天谷　宗一郎,Carp,2800,O型,178,83,49,外野手,100,167,35,1,NA,NA,NA,NA
2011年度,石井　琢朗,Carp,2700,B型,174,78,25,内野手,61,92,23,1,NA,NA,NA,NA
2011年度,篠田　純平,Carp,2400,A型,187,85,14,投手,17,NA,NA,NA,5,7,0,0
2011年度,豊田　清,Carp,2000,O型,180,85,33,投手,32,NA,NA,NA,2,1,0,7
2011年度,バーデン,Carp,2000,不明,180,90,35,内野手,64,210,59,3,NA,NA,NA,NA
2011年度,林　昌樹,Carp,1900,A型,183,85,53,投手,2,NA,NA,NA,0,0,0,0
2011年度,小窪　哲也,Carp,1800,O型,175,78,4,内野手,65,142,37,2,NA,NA,NA,NA
2011年度,上野　弘文,Carp,1800,O型,176,83,19,投手,31,NA,NA,NA,2,2,0,4
2011年度,岩本　貴裕,Carp,1800,A型,182,90,10,外野手,60,179,40,3,NA,NA,NA,NA
2011年度,青木　高広,Carp,1600,O型,187,86,47,投手,76,NA,NA,NA,2,4,0,20
2011年度,岸本　秀樹,Carp,1500,A型,189,85,48,投手,42,NA,NA,NA,3,2,0,10
2011年度,福井　優也,Carp,1500,A型,178,78,11,投手,27,NA,NA,NA,8,10,0,0
2011年度,木村　昇吾,Carp,1400,A型,182,77,66,内野手,106,293,76,0,NA,NA,NA,NA
2011年度,大島　崇行,Carp,1250,O型,185,83,46,投手,7,NA,NA,NA,0,0,0,1
2011年度,岩見　優輝,Carp,1200,A型,177,77,28,投手,8,NA,NA,NA,1,0,0,0
2011年度,中村　恭平,Carp,1000,O型,185,74,22,投手,3,NA,NA,NA,0,2,0,0
2011年度,今村　猛,Carp,1000,B型,183,83,16,投手,54,NA,NA,NA,3,8,2,13
2011年度,今井　啓介,Carp,950,B型,183,80,62,投手,11,NA,NA,NA,1,2,0,0
2011年度,迎　祐一郎,Carp,920,AB型,180,79,44,外野手,13,15,3,0,NA,NA,NA,NA
2011年度,中田　廉,Carp,900,AB型,189,90,34,投手,2,NA,NA,NA,0,0,0,0
2011年度,松本　高明,Carp,850,B型,177,73,45,内野手,38,52,11,0,NA,NA,NA,NA
2011年度,會澤　翼,Carp,800,B型,177,80,64,捕手,19,28,5,0,NA,NA,NA,NA
