"参加者ID","外向性1","外向性2","協調性1","協調性2","誠実性1","誠実性2","神経症傾向1","神経症傾向2","開放性1","開放性2"
"P001",2,2,4,4,2,2,1,1,1,1
"P002",5,5,2,3,3,2,5,3,3,4
"P003",5,5,4,4,4,5,2,2,1,3
"P004",5,4,2,2,6,5,2,2,3,4
"P005",3,6,4,5,6,7,3,6,3,4
"P006",3,4,3,4,5,5,6,4,5,5
"P007",1,2,5,5,6,6,1,4,4,5
"P008",5,7,4,4,7,7,7,7,5,3
"P009",2,1,3,4,7,7,1,4,4,5
"P010",4,6,4,5,3,2,4,4,2,1
"P011",3,2,2,1,4,6,4,3,1,4
"P012",1,1,3,4,6,6,2,3,4,4
"P013",6,6,7,6,4,2,4,2,7,6
"P014",5,4,4,2,4,5,5,4,5,6
"P015",5,3,2,1,1,1,5,4,1,2
"P016",2,2,1,1,4,2,6,6,4,1
"P017",2,4,6,6,6,6,6,6,7,7
"P018",7,7,6,5,5,2,7,7,7,4
"P019",7,6,2,2,1,1,6,6,7,6
"P020",2,4,3,6,6,6,2,6,1,2
"P021",2,6,2,4,2,1,3,2,3,2
"P022",5,6,3,3,3,2,5,2,7,7
"P023",3,7,2,3,2,2,1,2,4,4
"P024",1,2,4,5,4,2,1,1,3,1
"P025",1,1,1,1,3,2,5,4,1,1
"P026",4,3,4,3,2,2,4,5,5,2
"P027",3,4,3,7,6,4,5,5,7,5
"P028",6,5,7,6,1,2,5,5,6,6
"P029",4,5,4,5,5,5,6,7,1,1
"P030",5,6,6,5,7,6,5,5,7,6
"P031",5,2,7,6,6,7,4,2,3,5
"P032",4,3,6,5,6,6,2,3,4,3
"P033",2,4,4,4,6,6,3,2,2,3
"P034",6,2,2,2,1,3,6,4,2,7
"P035",2,3,4,5,6,5,4,5,4,4
"P036",6,6,4,4,2,2,6,4,6,6
"P037",5,6,5,3,2,2,2,1,5,6
"P038",5,5,4,7,5,3,6,4,6,5
"P039",5,7,1,4,1,1,7,7,7,6
"P040",2,3,7,6,5,6,6,6,4,6
"P041",5,5,5,3,5,6,3,7,3,2
"P042",4,5,3,4,5,5,6,5,3,6
"P043",4,5,4,3,6,6,5,7,1,1
"P044",6,6,2,1,3,5,7,7,4,2
"P045",7,4,5,3,1,2,5,4,4,5
"P046",4,2,4,1,1,3,4,3,1,3
"P047",5,7,2,3,4,2,4,5,5,3
"P048",2,1,4,3,6,7,3,5,3,6
"P049",6,6,3,4,6,4,6,5,3,3
"P050",4,3,3,5,1,4,4,6,1,1
"P051",1,5,6,6,6,5,2,3,7,5
"P052",6,2,6,3,2,2,6,4,5,4
"P053",2,2,5,2,5,7,2,3,2,2
"P054",3,2,4,2,3,3,5,2,2,2
"P055",2,5,5,6,3,1,6,5,2,1
"P056",5,3,3,5,2,5,3,4,1,3
"P057",1,4,1,4,2,2,2,5,3,3
"P058",4,5,6,6,6,4,2,1,3,6
"P059",7,7,2,6,1,1,7,7,6,4
"P060",3,3,6,7,5,4,1,1,6,5
"P061",5,5,2,2,4,3,4,4,5,5
"P062",2,5,4,5,4,3,4,5,4,3
"P063",1,3,2,3,4,2,5,4,2,3
"P064",1,1,5,2,5,5,4,4,4,4
