date,weight
2024-01-01T07:19:21Z,84.2
2024-01-02T09:00:58Z,84.6
2024-01-03T07:55:18Z,84.4
2024-01-04T07:26:00Z,85.3
2024-01-05T07:09:32Z,84.3
2024-01-06T07:26:19Z,85.2
2024-01-07T08:24:49Z,84
2024-01-07T16:56:25Z,84.4
2024-01-08T05:48:35Z,84.3
2024-01-09T06:49:17Z,84.7
2024-01-10T06:49:17Z,84.4
2024-01-11T06:49:25Z,84.1
2024-01-12T06:50:35Z,84.7
2024-01-13T07:16:13Z,84.4
2024-01-14T08:50:07Z,85.1
2024-01-16T06:36:11Z,84.9
2024-01-17T06:49:01Z,84.3
2024-01-18T06:50:05Z,84.2
2024-01-19T06:49:15Z,84.6
2024-01-20T07:37:32Z,85.5
2024-01-21T08:21:33Z,84.9
2024-01-22T06:35:51Z,84.8
2024-01-23T06:40:53Z,84.5
2024-01-24T06:40:51Z,84.6
2024-01-25T06:59:47Z,84.7
2024-01-26T06:47:39Z,85.4
2024-01-27T08:28:09Z,85.6
2024-01-28T09:02:50Z,84.8
2024-01-29T06:36:49Z,84.9
2024-01-31T08:28:21Z,85.2
2024-02-01T06:53:35Z,84.7
2024-02-02T06:52:54Z,85.9
2024-02-03T07:14:43Z,85.3
2024-02-04T08:51:07Z,85.1
2024-02-05T06:51:28Z,85.3
2024-02-06T07:12:46Z,84.9
2024-02-07T06:55:18Z,84.3
2024-02-08T06:38:05Z,85.1
2024-02-09T06:42:16Z,85.1
2024-02-10T05:18:21Z,84.8
2024-02-11T06:35:51Z,85.8
2024-02-12T06:54:17Z,86.4
2024-02-13T06:50:15Z,85.6
2024-02-14T06:11:14Z,85.8
2024-02-15T06:49:56Z,85.8
2024-02-16T06:33:46Z,86.6
2024-02-17T05:41:53Z,86.4
2024-02-18T07:35:09Z,86.3
2024-02-19T06:48:10Z,85.7
2024-02-20T06:50:46Z,85.2
2024-02-21T06:38:58Z,85.7
2024-02-22T06:09:01Z,85.9
2024-02-24T17:01:10Z,86.1
2024-02-25T08:45:19Z,86.3
2024-02-26T06:44:25Z,84.6
2024-02-27T06:51:32Z,84.7
2024-02-28T06:48:55Z,84.1
2024-02-29T06:48:16Z,85.8
2024-03-01T06:52:00Z,86.1
2024-03-02T07:45:03Z,85.6
2024-03-03T04:54:44Z,85.4
2024-03-04T06:52:48Z,85.3
2024-03-05T06:54:16Z,85.4
2024-03-06T06:41:50Z,85.9
2024-03-07T06:37:01Z,86.1
2024-03-08T06:40:24Z,84.4
2024-03-11T06:46:59Z,84.6
2024-03-12T06:40:30Z,85.6
2024-03-13T06:49:16Z,85.9
2024-03-14T06:30:08Z,85.9
2024-03-15T06:30:05Z,85.5
2024-03-17T05:52:07Z,85
2024-03-18T06:45:12Z,86.2
2024-03-19T06:18:15Z,86.6
2024-03-20T06:25:49Z,85.5
2024-03-21T06:45:23Z,85.2
2024-03-22T06:44:35Z,86.1
2024-03-23T08:08:06Z,85.4
2024-03-24T06:29:34Z,85.9
2024-03-25T06:52:25Z,86.9
2024-03-27T06:58:35Z,86.3
2024-03-28T06:51:33Z,85.8
2024-03-29T06:49:56Z,85.6
2024-04-01T06:34:35Z,85.8
2024-04-02T06:36:36Z,86.3
2024-04-03T06:37:56Z,86.2
2024-04-04T06:35:03Z,85.8
2024-04-05T06:15:30Z,86.1
2024-04-07T08:21:32Z,85.5
2024-04-08T06:02:28Z,85.3
2024-04-09T06:03:11Z,85
2024-04-10T05:48:10Z,83.7
2024-04-11T06:01:22Z,85.3
2024-04-12T05:59:17Z,85.4
2024-04-14T07:37:58Z,85.2
2024-04-15T06:18:59Z,85.2
2024-04-16T05:43:26Z,84
2024-04-17T06:02:34Z,84.8
2024-04-18T06:02:50Z,84.4
2024-04-19T05:52:19Z,84.2
2024-04-20T06:06:16Z,84.5
2024-04-21T07:03:00Z,84.4
2024-04-22T05:52:05Z,84.7
2024-04-23T05:48:50Z,84.5
2024-04-24T06:03:12Z,84.3
2024-04-25T05:46:53Z,83.9
2024-04-26T04:56:14Z,84.1
2024-04-27T05:58:21Z,84.5
2024-04-28T05:41:01Z,84.8
2024-04-29T05:41:52Z,84.6
2024-04-30T05:53:47Z,84.2
2024-05-01T06:52:02Z,83.3
2024-05-02T06:43:38Z,84.2
2024-05-05T07:17:54Z,84.9
2024-05-06T06:51:23Z,83.9
2024-05-07T05:36:41Z,83.3
2024-05-08T05:34:39Z,83.6
2024-05-09T05:16:17Z,83.6
2024-05-10T05:42:30Z,83.8
2024-05-11T05:47:32Z,83.7
2024-05-13T05:39:12Z,82.7
2024-05-14T05:19:19Z,82.5
2024-05-16T05:19:22Z,83.1
2024-05-17T05:40:24Z,83.6
2024-05-18T05:46:54Z,83.5
2024-05-19T06:01:07Z,83.3
2024-05-20T05:48:05Z,83.3
2024-05-21T05:31:52Z,83.3
2024-05-22T05:48:48Z,82.7
2024-05-23T05:46:49Z,82.9
2024-05-24T05:46:12Z,82.7
2024-05-25T05:49:29Z,82.6
2024-05-27T05:49:36Z,83.4
2024-05-28T05:38:40Z,82.8
2024-05-29T05:39:40Z,81.9
2024-05-30T05:36:56Z,82.5
2024-05-31T05:41:16Z,82.4
