"group","y"
"g1",57.5
"g1",59.36
"g1",56.61
"g1",59.11
"g1",53.46
"g1",56.86
"g1",49.95
"g1",59.43
"g1",53.45
"g1",46.94
"g1",50.78
"g1",62.45
"g1",61.25
"g1",38.44
"g1",34.71
"g1",56
"g1",53.24
"g1",43.78
"g1",59.49
"g1",57.9
"g1",63.69
"g1",61.27
"g1",55.58
"g1",53.59
"g1",57.56
"g1",59.86
"g1",60.79
"g1",52.18
"g1",46.43
"g1",65.8
"g1",65.61
"g1",59.15
"g1",54.98
"g1",56.9
"g1",39.94
"g2",45.93
"g2",54.12
"g2",55.98
"g2",56.13
"g2",57.76
"g2",56.43
"g2",43.75
"g2",53.55
"g2",44.63
"g2",45.84
"g2",46
"g2",49.05
"g2",49.43
"g2",67.1
"g2",54.41
"g2",44.46
"g2",59.87
"g2",57.81
"g2",52.71
"g2",47.93
"g2",54.96
"g2",51.82
"g2",58.24
"g2",50.74
"g2",50.26
"g2",54.36
"g2",54.7
"g2",52.39
"g2",57.3
"g2",47.8
"g2",46.14
"g2",56.93
"g2",55.75
"g2",52.43
"g2",58.3
"g3",42.6
"g3",41.87
"g3",32.87
"g3",40.62
"g3",32.72
"g3",39.49
"g3",43.68
"g3",48.2
"g3",34.06
"g3",40.17
"g3",38.76
"g3",40.52
"g3",30.76
"g3",44.75
"g3",46.77
"g3",40.96
"g3",38.94
"g3",48.26
"g3",38.41
"g3",43.25
"g3",38.11
"g3",39.45
"g3",51.55
"g3",46.54
"g3",31.92
"g3",38.07
"g3",35.87
"g3",39.97
"g3",43.44
"g3",43.06
"g3",27.82
"g3",34.99
"g3",30.01
"g3",34.09
"g3",28.37
