Year,Name,team,salary,position,Games,AtBats,Hit
2022年度,菊池　涼介,Carp,30000,内野手,123,462,121
2022年度,會澤　翼,Carp,18000,捕手,98,290,60
2022年度,大瀬良　大地,Carp,18000,投手,23,999,999
2022年度,田中　広輔,Carp,15000,内野手,41,40,8
2022年度,秋山　翔吾,Carp,15000,外野手,44,155,41
2022年度,九里　亜蓮,Carp,14000,投手,26,999,999
2022年度,長野　久義,Carp,12000,外野手,58,123,26
2022年度,フランスア,Carp,8500,投手,3,999,999
2022年度,アンダーソン,Carp,7700,投手,13,999,999
2022年度,マクブルーム,Carp,7700,内野手,128,448,122
2022年度,西川　龍馬,Carp,7600,外野手,97,390,123
2022年度,森下　暢仁,Carp,7500,投手,27,999,999
2022年度,松山　竜平,Carp,7500,外野手,88,152,33
2022年度,野村　祐輔,Carp,7200,投手,9,999,999
2022年度,ターリー,Carp,7150,投手,45,999,999
2022年度,中﨑　翔太,Carp,6600,投手,28,999,999
2022年度,栗林　良吏,Carp,5300,投手,48,999,999
2022年度,坂倉　将吾,Carp,5000,捕手,143,539,155
2022年度,一岡　竜司,Carp,4200,投手,10,999,999
2022年度,堂林　翔太,Carp,3600,内野手,101,255,62
2022年度,床田　寛樹,Carp,3300,投手,17,999,999
2022年度,野間　峻祥,Carp,3100,外野手,85,317,99
2022年度,菊池　保則,Carp,2900,投手,8,999,999
2022年度,島内　颯太郎,Carp,2400,投手,22,999,999
2022年度,森浦　大輔,Carp,2200,投手,51,999,999
2022年度,塹江　敦哉,Carp,2100,投手,26,999,999
2022年度,小園　海斗,Carp,2100,内野手,127,473,126
2022年度,コルニエル,Carp,2000,投手,12,999,999
2022年度,遠藤　淳志,Carp,2000,投手,20,999,999
2022年度,薮田　和樹,Carp,1900,投手,18,999,999
2022年度,ケムナ　誠,Carp,1900,投手,43,999,999
2022年度,大道　温貴,Carp,1500,投手,3,999,999
2022年度,黒原　拓未,Carp,1500,投手,12,999,999
2022年度,磯村　嘉孝,Carp,1400,捕手,43,114,27
2022年度,上本　崇司,Carp,1400,内野手,94,261,80
2022年度,三好　匠,Carp,1350,内野手,10,2,0
2022年度,森　翔平,Carp,1200,投手,8,999,999
2022年度,玉村　昇悟,Carp,1200,投手,9,999,999
2022年度,宇草　孔基,Carp,1200,外野手,45,88,18
2022年度,石原　貴規,Carp,1200,捕手,9,13,2
2022年度,曽根　海成,Carp,1150,内野手,44,6,0
2022年度,中村　健人,Carp,1100,外野手,63,121,29
2022年度,大盛　穂,Carp,1100,外野手,52,69,14
2022年度,羽月　隆太郎,Carp,1000,内野手,44,94,23
2022年度,末包　昇大,Carp,1000,外野手,31,77,23
2022年度,中村　奨成,Carp,900,捕手,27,57,11
2022年度,矢崎　拓也,Carp,800,投手,47,999,999
2022年度,松本　竜也,Carp,770,投手,50,999,999
2022年度,白濱　裕太,Carp,650,捕手,4,4,0
2022年度,矢野　雅哉,Carp,600,内野手,55,67,13
2022年度,韮澤　雄也,Carp,500,内野手,7,10,1
2022年度,藤井　黎來,Carp,500,投手,12,999,999
2022年度,小林　樹斗,Carp,500,投手,1,999,999
2022年度,持丸　泰輝,Carp,350,捕手,5,6,0
2022年度,ロハス・ジュニア,Tigers,26300,外野手,89,183,41
2022年度,アルカンタラ,Tigers,21000,投手,39,999,999
2022年度,西　勇輝,Tigers,20000,投手,23,999,999
2022年度,マルテ,Tigers,18700,内野手,33,90,23
2022年度,ガンケル,Tigers,16500,投手,16,999,999
2022年度,梅野　隆太郎,Tigers,16000,捕手,100,294,67
2022年度,岩崎　優,Tigers,15000,投手,57,999,999
2022年度,近本　光司,Tigers,15000,外野手,132,525,154
2022年度,ケラー,Tigers,12100,投手,34,999,999
2022年度,青柳　晃洋,Tigers,12000,投手,24,999,999
2022年度,秋山　拓巳,Tigers,11000,投手,5,999,999
2022年度,大山　悠輔,Tigers,10000,内野手,124,439,117
2022年度,糸井　嘉男,Tigers,8500,外野手,62,163,37
2022年度,糸原　健斗,Tigers,7900,内野手,132,445,110
2022年度,ウィルカーソン,Tigers,7150,投手,14,999,999
2022年度,藤浪　晋太郎,Tigers,4900,投手,16,999,999
2022年度,岩貞　祐太,Tigers,4500,投手,53,999,999
2022年度,伊藤　将司,Tigers,4400,投手,20,999,999
2022年度,佐藤　輝明,Tigers,4200,内野手,143,541,143
2022年度,中野　拓夢,Tigers,3700,内野手,135,569,157
2022年度,馬場　皐輔,Tigers,3400,投手,7,999,999
2022年度,ロドリゲス,Tigers,3250,内野手,24,65,10
2022年度,木浪　聖也,Tigers,2600,内野手,41,93,19
2022年度,原口　文仁,Tigers,2500,内野手,33,71,23
2022年度,髙山　俊,Tigers,2300,外野手,38,53,10
2022年度,坂本　誠志郎,Tigers,2200,捕手,60,127,24
2022年度,島本　浩也,Tigers,2100,投手,15,999,999
2022年度,陽川　尚将,Tigers,2050,内野手,45,68,20
2022年度,及川　雅貴,Tigers,2000,投手,1,999,999
2022年度,山本　泰寛,Tigers,1900,内野手,86,181,45
2022年度,北條　史也,Tigers,1900,内野手,32,43,8
2022年度,小林　慶祐,Tigers,1800,投手,10,999,999
2022年度,植田　海,Tigers,1750,内野手,57,12,3
2022年度,加治屋　蓮,Tigers,1500,投手,39,999,999
2022年度,小川　一平,Tigers,1400,投手,6,999,999
2022年度,島田　海吏,Tigers,1350,外野手,123,311,82
2022年度,小野　泰己,Tigers,1350,投手,5,999,999
2022年度,熊谷　敬宥,Tigers,1300,内野手,63,45,7
2022年度,西　純矢,Tigers,1250,投手,14,999,999
2022年度,齋藤　友貴哉,Tigers,1200,投手,20,999,999
2022年度,森木　大智,Tigers,1200,投手,2,999,999
2022年度,小幡　竜平,Tigers,1100,内野手,49,69,13
2022年度,江越　大賀,Tigers,1100,外野手,24,4,0
2022年度,桐敷　拓馬,Tigers,1000,投手,7,999,999
2022年度,板山　祐太郎,Tigers,1000,外野手,14,8,1
2022年度,榮枝　裕貴,Tigers,800,捕手,1,1,1
2022年度,豊田　寛,Tigers,800,外野手,5,7,0
2022年度,石井　大智,Tigers,800,投手,18,999,999
2022年度,尾仲　祐哉,Tigers,750,投手,1,999,999
2022年度,井上　広大,Tigers,720,外野手,2,5,0
